dataset	record_type	gate	biological_unit	rabbit_id	condition_or_day	module	selected_cell_count	module_score	injured_minus_control_residual	day7_mean_residual	day28_mean_residual	cross_sectional_day7_minus_day28	direction
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Contractile	2926.0	0.39992738001832334					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Matricellular	2926.0	0.3027558776711824					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	LOX/LOXL2	2926.0	0.6525809544705657					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	ECM remodeling	2926.0	0.10851230593945208					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Keratocyte-associated identity	2926.0	0.7862843295037248					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Inflammation-associated response	2926.0	0.030996458052046573					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Collagen	2926.0	1.011054990653545					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Contractile	2431.0	0.39181681596547485					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Matricellular	2431.0	0.30061648381195505					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	LOX/LOXL2	2431.0	0.5688076669621728					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	ECM remodeling	2431.0	0.28545738587561276					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Keratocyte-associated identity	2431.0	0.6031072803660329					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Inflammation-associated response	2431.0	0.05841619227165623					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Collagen	2431.0	1.0402414949889622					
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	Contractile	10800.0		0.47180920788333325				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	Contractile	7356.0		-0.07859045946824755				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	Contractile	4473.0		0.029852932683947342				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	Contractile	7704.0		0.28912935439688037				
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			Contractile				0.3804692811401068	-0.024368763392150106	0.4048380445322569	positive
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	Matricellular	10800.0		0.12156727356397137				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	Matricellular	7356.0		-0.06416765295875734				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	Matricellular	4473.0		-0.04885844916462495				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	Matricellular	7704.0		0.12205828806084773				
